frame,timestamp,L,a,b,agtron_interpolado,origem_video
1,0.0,177.626,132.524,132.172,95.0,v1
2,0.036,177.869,132.248,131.839,95.0,v1
3,0.068,178.029,132.091,131.582,95.0,v1
4,0.1,177.976,131.989,131.711,95.0,v1
5,0.132,177.992,132.103,131.891,95.0,v1
6,0.164,177.779,132.447,131.977,95.0,v1
7,0.2,177.982,132.447,131.706,95.0,v1
8,0.232,178.145,132.3,131.762,95.0,v1
9,0.264,177.997,132.353,132.008,95.0,v1
10,0.296,177.961,132.327,131.826,95.0,v1
11,0.328,178.07,132.144,131.746,95.0,v1
12,0.364,177.849,132.821,131.574,95.0,v1
13,0.396,177.904,132.463,131.546,95.0,v1
14,0.428,177.793,132.634,131.954,95.0,v1
15,0.46,177.788,132.64,131.836,95.0,v1
16,0.492,177.587,132.471,131.82,95.0,v1
17,0.524,177.584,132.624,131.491,95.0,v1
18,0.56,177.465,132.597,131.94,95.0,v1
19,0.592,177.372,132.584,132.017,95.0,v1
20,0.624,177.049,132.668,132.092,95.0,v1
21,0.656,176.911,132.862,132.082,95.0,v1
22,0.688,176.698,133.171,132.063,95.0,v1
23,0.724,176.594,132.973,132.404,95.0,v1
24,0.756,176.353,132.992,132.326,95.0,v1
25,0.788,176.192,133.088,132.49,95.0,v1
26,0.82,176.189,133.283,132.42,95.0,v1
27,0.852,176.23,133.317,132.259,95.0,v1
28,0.888,176.504,132.823,132.119,95.0,v1
29,0.92,176.381,133.009,132.187,95.0,v1
30,0.952,176.453,132.791,132.18,95.0,v1
31,0.984,176.514,132.715,132.346,95.0,v1
32,1.016,176.861,132.362,132.092,95.0,v1
33,1.048,176.905,132.469,132.145,95.0,v1
34,1.084,177.163,132.317,132.245,95.0,v1
35,1.116,177.632,132.474,131.769,95.0,v1
36,1.148,177.592,132.434,131.888,95.0,v1
37,1.18,177.437,132.098,131.917,95.0,v1
38,1.212,177.069,132.409,132.135,94.992,v1
39,1.248,177.124,132.428,132.158,94.984,v1
40,1.28,177.218,132.533,131.971,94.976,v1
41,1.312,176.921,132.445,132.228,94.969,v1
42,1.344,176.974,132.365,132.237,94.961,v1
43,1.376,177.135,132.453,132.186,94.954,v1
44,1.412,177.436,132.217,131.666,94.945,v1
45,1.444,177.427,132.348,131.541,94.938,v1
46,1.476,177.589,132.205,131.935,94.93,v1
