frame,timestamp,L,a,b,agtron_interpolado,origem_video
1,0.0,166.288,132.215,131.217,95.0,v1
2,0.036,166.557,132.036,130.789,95.0,v1
3,0.068,167.514,131.832,130.758,95.0,v1
4,0.1,167.305,131.813,130.769,95.0,v1
5,0.132,167.039,131.682,131.007,95.0,v1
6,0.164,166.997,132.178,130.904,95.0,v1
7,0.2,167.279,132.013,130.905,95.0,v1
8,0.232,167.069,131.908,130.741,95.0,v1
9,0.264,166.313,132.062,130.94,95.0,v1
10,0.296,166.746,131.914,130.812,95.0,v1
11,0.328,166.707,131.819,130.935,95.0,v1
12,0.364,166.357,132.302,130.569,95.0,v1
13,0.396,166.539,132.062,130.545,95.0,v1
14,0.428,166.552,132.036,131.047,95.0,v1
15,0.46,166.7,132.281,130.885,95.0,v1
16,0.492,166.86,132.064,131.065,95.0,v1
17,0.524,166.872,132.107,131.004,95.0,v1
18,0.56,166.782,132.193,130.982,95.0,v1
19,0.592,167.102,132.063,131.232,95.0,v1
20,0.624,166.865,132.229,131.138,95.0,v1
21,0.656,166.603,132.219,131.304,95.0,v1
22,0.688,166.314,132.494,131.143,95.0,v1
23,0.724,166.649,132.258,131.484,95.0,v1
24,0.756,166.342,132.355,131.46,95.0,v1
25,0.788,165.903,132.405,131.469,95.0,v1
26,0.82,166.175,132.633,131.334,95.0,v1
27,0.852,166.558,132.603,131.368,95.0,v1
28,0.888,167.093,132.153,131.317,95.0,v1
29,0.92,166.9,132.329,131.171,94.991,v1
30,0.952,167.313,132.263,131.278,94.982,v1
31,0.984,167.786,132.079,131.212,94.973,v1
32,1.016,168.329,131.85,131.065,94.964,v1
33,1.048,168.23,131.887,131.291,94.956,v1
34,1.084,168.713,131.758,131.415,94.945,v1
35,1.116,169.148,132.009,130.915,94.937,v1
36,1.148,169.335,131.862,130.987,94.928,v1
37,1.18,169.545,131.559,131.218,94.919,v1
38,1.212,169.135,131.965,131.259,94.91,v1
39,1.248,168.998,131.808,131.327,94.9,v1
40,1.28,168.922,131.861,131.09,94.891,v1
41,1.312,168.692,131.697,131.353,94.882,v1
42,1.344,168.834,131.831,131.292,94.873,v1
43,1.376,168.483,131.826,131.265,94.864,v1
44,1.412,168.663,131.746,130.877,94.854,v1
45,1.444,168.567,131.794,130.728,94.845,v1
46,1.476,168.816,131.655,131.085,94.836,v1
47,1.508,169.207,131.76,131.188,94.828,v1
48,1.54,169.522,131.775,130.909,94.819,v1
49,1.572,169.912,131.565,130.812,94.81,v1
50,1.608,170.175,131.339,130.895,94.8,v1
51,1.64,170.022,131.382,130.769,94.791,v1
52,1.672,170.63,131.386,130.71,94.782,v1
53,1.704,170.264,131.335,130.57,94.773,v1
54,1.736,170.129,131.554,130.547,94.764,v1
55,1.772,170.178,131.061,130.917,94.754,v1
56,1.804,169.106,131.56,130.693,94.745,v1
57,1.836,168.792,131.655,130.748,94.736,v1
58,1.868,167.721,131.917,131.406,94.727,v1
59,1.9,167.467,132.074,131.089,94.719,v1
60,1.936,167.769,132.117,130.858,94.709,v1
61,1.968,167.845,131.669,130.677,94.7,v1
62,2.0,168.452,131.356,130.057,94.691,v1
63,2.032,169.946,130.801,130.155,94.682,v1
64,2.064,169.284,131.036,130.238,94.673,v1
65,2.096,165.712,130.916,130.221,94.664,v1
66,2.132,168.123,130.526,129.906,94.654,v1
67,2.164,168.684,130.31,129.953,94.645,v1
68,2.196,168.282,130.693,130.061,94.636,v1
69,2.228,166.936,131.18,130.486,94.627,v1
70,2.26,166.527,131.407,131.122,94.618,v1
71,2.296,166.218,131.643,130.868,94.608,v1
72,2.328,164.67,132.195,131.386,94.6,v1
73,2.36,164.408,132.39,131.492,94.591,v1
74,2.392,165.542,131.788,131.46,94.582,v1
75,2.424,168.621,131.32,130.994,94.573,v1
76,2.46,169.774,131.089,130.692,94.563,v1
