frame,timestamp,L,a,b,fase
1,0.0,177.626,132.524,132.172,
2,0.036,177.869,132.248,131.839,
3,0.068,178.029,132.091,131.582,
4,0.1,177.976,131.989,131.711,
5,0.132,177.992,132.103,131.891,
6,0.164,177.779,132.447,131.977,
7,0.2,177.982,132.447,131.706,
8,0.232,178.145,132.3,131.762,
9,0.264,177.997,132.353,132.008,
10,0.296,177.961,132.327,131.826,
11,0.328,178.07,132.144,131.746,
12,0.364,177.849,132.821,131.574,
13,0.396,177.904,132.463,131.546,
14,0.428,177.793,132.634,131.954,
15,0.46,177.788,132.64,131.836,
16,0.492,177.587,132.471,131.82,
17,0.524,177.584,132.624,131.491,
18,0.56,177.465,132.597,131.94,
19,0.592,177.372,132.584,132.017,
20,0.624,177.049,132.668,132.092,
21,0.656,176.911,132.862,132.082,
22,0.688,176.698,133.171,132.063,
23,0.724,176.594,132.973,132.404,
24,0.756,176.353,132.992,132.326,
25,0.788,176.192,133.088,132.49,
26,0.82,176.189,133.283,132.42,
27,0.852,176.23,133.317,132.259,
28,0.888,176.504,132.823,132.119,
29,0.92,176.381,133.009,132.187,
30,0.952,176.453,132.791,132.18,
31,0.984,176.514,132.715,132.346,
32,1.016,176.861,132.362,132.092,
33,1.048,176.905,132.469,132.145,
34,1.084,177.163,132.317,132.245,
35,1.116,177.632,132.474,131.769,
36,1.148,177.592,132.434,131.888,
37,1.18,177.437,132.098,131.917,
38,1.212,177.069,132.409,132.135,
39,1.248,177.124,132.428,132.158,
40,1.28,177.218,132.533,131.971,
41,1.312,176.921,132.445,132.228,
42,1.344,176.974,132.365,132.237,
43,1.376,177.135,132.453,132.186,
44,1.412,177.436,132.217,131.666,
45,1.444,177.427,132.348,131.541,
46,1.476,177.589,132.205,131.935,
47,1.508,177.608,132.221,132.093,
48,1.54,177.722,132.075,131.847,
49,1.572,178.085,132.023,131.701,
50,1.608,178.066,131.808,131.675,
51,1.64,177.817,131.705,131.664,
52,1.672,177.907,131.795,131.542,
53,1.704,177.56,131.832,131.118,
54,1.736,177.325,131.816,131.415,
55,1.772,177.323,131.398,131.823,
56,1.804,176.647,131.988,131.464,
57,1.836,176.09,131.891,131.712,
58,1.868,175.123,132.476,132.168,
59,1.9,174.84,132.602,132.113,
60,1.936,175.56,132.763,131.786,
61,1.968,177.241,132.514,131.296,
62,2.0,179.804,132.182,130.782,
63,2.032,182.693,131.552,130.852,
64,2.064,183.281,131.485,131.36,
65,2.096,179.525,131.485,131.015,
66,2.132,180.218,130.78,130.755,
67,2.164,180.392,130.607,130.597,
68,2.196,180.035,130.963,130.885,
69,2.228,178.757,131.592,131.373,
70,2.26,177.03,132.0,132.189,
71,2.296,175.941,132.293,131.811,
72,2.328,173.667,132.989,132.548,
73,2.36,172.076,133.277,132.606,
74,2.392,170.182,132.396,132.302,
75,2.424,170.715,131.745,131.871,
76,2.46,169.963,131.299,131.556,
77,2.492,164.294,131.143,131.216,
78,2.524,164.099,130.804,130.975,
79,2.556,164.205,130.143,130.887,
80,2.588,161.1,130.026,130.792,
81,2.62,161.648,129.627,130.688,
82,2.656,161.853,129.667,130.173,
83,2.688,157.55,129.342,130.293,
84,2.72,157.237,129.39,130.45,
85,2.752,157.117,129.452,130.205,
86,2.784,152.633,129.533,130.685,
87,2.82,153.543,129.56,130.3,
88,2.852,154.761,128.878,130.478,
89,2.884,155.668,129.232,130.023,
90,2.916,156.483,129.29,130.424,
91,2.948,157.356,129.384,130.404,
92,2.984,158.477,129.301,130.416,
93,3.016,158.743,129.088,130.936,
94,3.048,158.179,129.346,130.572,
95,3.08,158.632,129.911,130.326,
96,3.112,157.648,129.84,130.839,
97,3.144,156.724,130.12,131.006,
98,3.18,158.379,130.151,130.884,
99,3.212,159.579,129.839,130.842,
100,3.244,159.874,129.407,130.402,
101,3.276,161.684,129.394,130.473,
102,3.308,161.488,129.071,130.747,
103,3.344,161.798,129.106,130.342,
104,3.376,163.254,129.183,129.977,
105,3.408,163.716,129.286,129.868,
106,3.44,164.784,128.698,129.532,
107,3.472,164.747,128.451,129.735,
108,3.508,164.595,128.337,129.628,
109,3.54,164.639,128.151,129.665,
110,3.572,164.324,128.026,129.732,
111,3.604,164.283,128.46,129.494,
112,3.636,164.214,128.516,129.771,
113,3.668,163.898,128.614,129.482,
114,3.704,163.635,128.994,129.625,
115,3.736,163.995,129.336,130.46,
116,3.768,163.605,129.977,130.844,
117,3.8,162.975,130.334,131.438,
118,3.832,162.772,130.602,131.065,
119,3.868,164.366,130.649,131.139,
120,3.9,164.685,130.561,130.824,
121,3.932,164.573,130.444,131.037,
122,3.964,165.168,130.432,131.707,
123,3.996,165.375,130.62,130.94,
124,4.032,165.918,130.65,130.717,
125,4.064,166.096,130.213,130.925,
126,4.096,166.841,129.894,130.816,
127,4.128,167.179,129.929,130.889,
128,4.16,169.386,129.714,130.746,
129,4.192,169.194,130.067,130.817,
130,4.228,167.076,131.249,131.506,
131,4.26,168.345,131.782,131.833,
132,4.292,168.159,131.709,131.536,
133,4.324,168.554,131.186,131.686,
134,4.356,168.312,131.274,131.486,
135,4.392,168.576,131.202,131.692,
136,4.424,168.274,131.206,130.784,
137,4.456,168.981,130.82,130.968,
138,4.488,170.212,130.504,131.223,
139,4.52,170.976,130.271,130.948,
140,4.556,172.241,129.709,130.602,
141,4.588,172.309,129.442,130.696,
142,4.62,172.066,129.379,130.395,
143,4.652,172.352,129.406,130.345,
144,4.684,172.659,129.387,129.931,
145,4.716,172.727,129.264,130.211,
146,4.752,172.613,129.237,129.862,
147,4.784,172.902,128.751,130.315,
148,4.816,172.964,128.926,129.861,
149,4.848,174.336,128.919,129.586,
150,4.88,174.189,129.035,130.001,
151,4.916,173.768,129.232,129.837,
152,4.948,174.891,129.205,130.141,
153,4.98,174.696,129.439,130.009,
154,5.012,174.78,129.436,130.309,
155,5.044,175.017,129.795,130.059,
156,5.08,175.053,129.53,130.506,
157,5.112,174.758,129.681,130.799,
158,5.144,174.912,129.592,130.882,
159,5.176,175.33,129.723,130.444,
160,5.208,175.384,129.923,130.38,
161,5.24,175.615,129.525,130.678,
162,5.276,175.748,129.509,130.426,
163,5.308,175.751,129.712,130.289,
164,5.34,176.282,129.24,130.378,
165,5.372,176.556,129.309,130.129,
166,5.404,176.716,129.246,129.753,
167,5.44,176.952,129.064,129.77,
168,5.472,176.901,128.947,129.724,
169,5.504,177.26,128.739,129.304,
170,5.536,177.086,128.822,129.647,
171,5.568,177.161,128.629,129.661,
172,5.604,176.253,128.759,129.278,
173,5.636,175.711,128.69,129.103,
174,5.668,175.711,128.842,129.288,
175,5.7,176.497,128.382,130.053,
176,5.732,175.905,128.736,129.461,
177,5.764,175.955,128.814,129.588,
178,5.8,176.153,128.759,129.448,
179,5.832,176.425,128.802,129.604,
180,5.864,176.392,128.916,129.695,
181,5.896,175.671,128.808,129.669,
182,5.928,175.692,129.012,129.275,
183,5.964,175.49,128.795,130.012,
184,5.996,175.757,129.056,129.94,
185,6.028,175.328,129.102,130.097,
186,6.06,174.78,129.22,129.893,
187,6.092,174.413,129.225,129.638,
188,6.128,174.382,129.165,129.843,
189,6.16,175.409,128.98,130.016,
190,6.192,175.489,128.964,129.847,
191,6.224,175.605,129.08,129.792,
192,6.256,175.979,129.208,129.565,
193,6.288,175.474,129.152,129.952,
194,6.324,175.202,129.211,129.855,
195,6.356,175.394,128.945,130.108,
196,6.388,175.469,129.093,129.948,
197,6.42,175.198,129.142,129.893,
198,6.452,175.169,129.099,129.976,
199,6.488,174.97,129.225,129.817,
200,6.52,174.923,129.358,129.952,
201,6.552,174.419,129.353,130.034,
202,6.584,174.162,129.727,129.887,
203,6.616,173.97,129.396,130.339,
204,6.652,173.785,129.782,130.322,
205,6.684,173.867,129.574,130.424,
206,6.716,174.317,129.449,130.688,
207,6.748,174.223,129.849,130.405,
208,6.78,174.735,130.05,130.402,
209,6.812,172.203,129.778,130.675,
210,6.848,172.194,129.925,130.577,
211,6.88,171.613,129.968,130.901,
212,6.912,171.144,130.347,130.796,
213,6.944,170.616,130.41,130.65,
214,6.976,170.102,130.559,130.793,
215,7.012,166.829,130.374,131.128,
216,7.044,166.519,130.572,131.182,
217,7.076,166.293,130.654,131.118,
218,7.108,166.585,130.643,131.049,
219,7.14,166.531,130.462,131.015,
220,7.176,166.385,130.468,131.174,
221,7.208,165.919,130.256,131.402,
222,7.24,166.056,130.262,131.299,
223,7.272,165.836,130.715,131.0,
224,7.304,166.467,130.784,130.808,
225,7.336,166.03,131.218,130.997,
226,7.372,166.344,130.723,131.058,
227,7.404,161.848,130.521,130.897,
228,7.436,161.694,130.744,130.783,
229,7.468,161.518,130.357,131.06,
230,7.5,161.17,130.312,131.217,
231,7.536,161.515,130.53,130.922,
232,7.568,162.291,130.458,131.337,
233,7.6,161.428,130.513,130.553,
234,7.632,161.918,130.552,130.953,
235,7.664,163.889,130.293,130.85,
236,7.7,164.031,130.438,131.106,
237,7.732,165.712,130.061,131.162,
238,7.764,166.214,130.225,130.712,
239,7.796,166.64,130.009,130.753,
240,7.828,166.613,130.002,130.763,
241,7.86,167.155,130.089,131.15,
242,7.896,167.409,129.837,131.083,
243,7.928,166.767,130.193,131.045,
244,7.96,166.398,130.116,131.015,
245,7.992,165.811,130.382,130.919,
246,8.024,165.752,130.599,130.698,
247,8.06,166.036,130.626,131.029,
248,8.092,166.037,130.782,130.786,
249,8.124,166.45,130.609,130.885,
250,8.156,166.009,130.629,131.003,
251,8.188,165.508,130.22,130.996,
252,8.224,166.231,130.161,130.894,
253,8.256,166.714,130.366,130.877,
254,8.288,165.742,130.632,130.694,
255,8.32,165.477,130.632,130.869,
256,8.352,164.871,130.423,131.114,
257,8.384,163.562,130.695,130.844,
258,8.42,162.73,130.796,131.169,
259,8.452,163.163,131.077,130.924,
260,8.484,162.711,131.047,131.053,
261,8.516,163.474,130.673,131.36,
262,8.548,163.128,130.772,131.304,
263,8.584,163.622,130.676,131.363,
264,8.616,163.876,130.92,131.317,
265,8.648,164.941,130.838,131.218,
266,8.68,165.963,130.754,131.11,
267,8.712,165.363,130.833,131.124,
268,8.748,165.779,130.512,131.122,
269,8.78,166.066,130.91,130.907,
270,8.812,165.365,130.506,131.041,
271,8.844,164.999,129.936,131.48,
272,8.876,164.684,129.987,130.766,
273,8.908,164.734,130.122,131.051,
274,8.944,165.677,130.296,131.062,
275,8.976,164.9,130.119,131.094,
276,9.008,165.167,130.395,130.763,
